country,name,alt_name,is_bivouac,evidence,lat,lon,ele_m,capacity,operator,tourism,shelter_type,website,wikidata,image_url,image_source,image_alt,osm_type,osm_id,osm_url
SI,,,True,wilderness_hut,46.363216,13.543021,,,,wilderness_hut,,,,,,,way,1524341692,https://www.openstreetmap.org/way/1524341692
SI,,,True,shelter_type,45.533491,13.626136,,,,,basic_hut,,,,,,way,1554333451,https://www.openstreetmap.org/way/1554333451
SI,Bivak Stebrasta skala,Žakeljnov bivak,True,shelter_type+name,46.423286,14.060297,,,,,basic_hut,,,,,,way,1148841826,https://www.openstreetmap.org/way/1148841826
SI,Bivak gorskih reševalcev,,True,shelter_type+name,46.34371,13.475845,,,,,basic_hut,,,,,,way,983702524,https://www.openstreetmap.org/way/983702524
SI,Bivak na Javoršku,,True,shelter_type+name,46.254151,14.762412,,,,,basic_hut,,,,,,way,1217504448,https://www.openstreetmap.org/way/1217504448
SI,Bivak na Kamniškem vrhu,,True,shelter_type+name,46.287507,14.580612,,,,,basic_hut,,,,,,way,802539935,https://www.openstreetmap.org/way/802539935
SI,Bivak na Kojci,,True,shelter_type+name,46.153885,13.926537,,,,,basic_hut,,,,,,way,1129502605,https://www.openstreetmap.org/way/1129502605
SI,Bivak na Prehodavcih – zimska soba,,True,shelter_type+name,46.357786,13.792226,,24,,,basic_hut,,,https://static1.squarespace.com/static/5458d569e4b07b86a4d3eb45/t/56786fe8df40f3876ba8cf6a/1450733546665,osm:image,,way,389087841,https://www.openstreetmap.org/way/389087841
SI,Bivak – Evropska pešpot E6/E7,,True,shelter_type+name,45.835858,14.533223,,,,,basic_hut,,,,,,way,1081173866,https://www.openstreetmap.org/way/1081173866
SI,Blažev bivak na Golavi,,True,shelter_type+name,46.206791,15.104702,,,,,basic_hut,,,,,,node,11495016787,https://www.openstreetmap.org/node/11495016787
SI,Cetinova koča,,True,shelter_type,45.827813,14.063885,,,,,basic_hut,,,,,,way,1188148820,https://www.openstreetmap.org/way/1188148820
SI,Hišica dobrega počutja,,True,wilderness_hut,46.309468,14.312629,,,,wilderness_hut,,,,,,,node,14157655450,https://www.openstreetmap.org/node/14157655450
SI,Jamarska koča,,True,shelter_type,45.910765,14.24181,,,,,basic_hut,,,,,,way,906387005,https://www.openstreetmap.org/way/906387005
SI,Koserjeva koča (LD Rogatec),,True,shelter_type,46.25513,15.766647,,,,hunting_lodge,basic_hut,,,,,,way,1312907310,https://www.openstreetmap.org/way/1312907310
SI,Koča Breza,,True,wilderness_hut,46.054221,14.692529,,,Društvo tabornikov Rod Črnega mrava,wilderness_hut,,https://www.crnimrav.si/koca-z-idejo,,,,,way,520513854,https://www.openstreetmap.org/way/520513854
SI,Kurirska postaja TV 17,,True,shelter_type,45.913061,14.299043,,,,,basic_hut,,,,,,node,11456235457,https://www.openstreetmap.org/node/11456235457
SI,Lovska koča,,True,wilderness_hut,45.534384,14.106812,,,,wilderness_hut,,,,,,,way,1251145103,https://www.openstreetmap.org/way/1251145103
SI,Lovska koča na Miji,,True,wilderness_hut,46.240314,13.485217,,,,wilderness_hut,,,,,,,way,1274574221,https://www.openstreetmap.org/way/1274574221
SI,Lovska koča Črnevka,Lovska koča pod Kalškim grebenom,True,shelter_type,46.331207,14.56424,,,,hunting_lodge,basic_hut,,,,,,way,607958215,https://www.openstreetmap.org/way/607958215
SI,Miškova hiša,,True,wilderness_hut,45.826506,13.771173,,,,wilderness_hut,,,,,,,way,1178532261,https://www.openstreetmap.org/way/1178532261
SI,Podraška bajta,,True,wilderness_hut,45.791338,14.024773,,4,,wilderness_hut,,,,,,,way,485004848,https://www.openstreetmap.org/way/485004848
SI,Polharska Koča,,True,wilderness_hut,46.005476,14.239414,,,,wilderness_hut,,,,,,,node,11577769870,https://www.openstreetmap.org/node/11577769870
SI,Polhova koča,,True,shelter_type,45.833269,14.064546,,,,,basic_hut,,,,,,way,43525501,https://www.openstreetmap.org/way/43525501
SI,Zimska soba,,True,shelter_type,46.319007,13.778812,,,,,basic_hut,,,https://commons.wikimedia.org/wiki/Special:FilePath/Triglav_National_Park_-_hut.jpg,commons:name-match<300m,https://commons.wikimedia.org/wiki/Special:FilePath/Double_Lake_hut.jpg | https://commons.wikimedia.org/wiki/Special:FilePath/Ko%C4%8Da_pri_Triglavskih_jezerih_-_umgeben_von_Seen.jpg,way,498293307,https://www.openstreetmap.org/way/498293307
SI,lovska koča,,True,shelter_type,46.639129,15.092467,,,,,basic_hut,,,,,,way,983126741,https://www.openstreetmap.org/way/983126741
SI,lovska koča,,True,wilderness_hut,46.282407,14.579902,,,,wilderness_hut,,,,,,,way,1299061963,https://www.openstreetmap.org/way/1299061963
